lexeme	trans	url	applicable
ܐܒܐ	Aba of Nineveh	http://syriaca.org/person/1094	no
ܐܒܐ	Abba	http://syriaca.org/person/2582	no
ܐܒܐ	Aba	http://syriaca.org/person/308	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/964	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/1548	no
ܐܒܪܗܡ	Abraham of Harran	http://syriaca.org/person/1549	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/1546	no
ܐܒܪܗܡ	Abraham of the High Mountain	http://syriaca.org/person/1109	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/1110	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/1547	no
ܐܒܪܗܡ	Abraham II of Adiabene	http://syriaca.org/person/1552	no
ܐܒܪܗܡ	Abraham of Adiabene	http://syriaca.org/person/1551	no
ܐܒܪܗܡ	Abraham	http://syriaca.org/person/2202	no
ܐܒܪܗܡ	Abraham the Egyptian	http://syriaca.org/person/1553	no
ܐܒܪܗܡ	Abraham the Priest	http://syriaca.org/person/1554	no
ܐܒܪܗܡ	Abraham, bishop of Arbela	http://syriaca.org/person/1108	no
ܐܕܝ	Addai	http://syriaca.org/person/1118	no
ܐܕܝ	Addai	http://syriaca.org/person/1117	no
ܐܕܝ	Addai	http://syriaca.org/person/2203	no
lexeme	trans	url	applicable
ܐܘܪܫܠܡ	Jerusalem (settlement)	http://syriaca.org/place/104	no
ܐܠܟܣܢܕܪܝܐ	Alexandria (settlement)	http://syriaca.org/place/572	no
ܐܢܛܝܘܟܝܐ	Antioch (settlement)	http://syriaca.org/place/10	no
ܐܢܛܝܘܟܝܐ	Antioch (region)	http://syriaca.org/place/995	no
